name,address,rating,price,popularity,verified,station_idx,distance,lat_lon
Food Truck Garage,90 Wellesley Street,7.6,1,0.9176631117813925,True,13,201,"-36.849575,174.759038"
Subway,167 Victoria Street West,5.8,1,0.8807497576214586,False,13,55,"-36.847605,174.757676"
The Grill by Sean Connolly,90 Federal Street,8.4,4,0.3673381449962297,False,14,102,"-36.849341,174.762482"
Tony's Original Steak & Seafood Restaurant,27 Wellesley Street,8.8,4,0.9838234766059822,False,14,121,"-36.850359,174.763159"
Masu,90 Federal Street,8.1,2,0.9811124277352867,False,14,99,"-36.849207,174.762494"
Depot Eatery & Oyster Bar,86 Federal St,9.0,2,0.9880785665553521,False,14,136,"-36.849102,174.762433"
Federal Delicatessen,86 Federal Street,8.9,2,0.992908183417717,False,14,152,"-36.849102,174.762433"
Bellota,91 Federal Street,7.7,3,0.5564472692017667,True,14,97,"-36.849018,174.762161"
Elliott Stables,39 Elliott Street,8.3,-1,0.9864447556465223,False,14,157,"-36.850309,174.763443"
Little Mexico,29-31 WELLELEY ST WEST,7.6,1,0.83590075047578,True,14,112,"-36.850368,174.763298"
Chawlas Indian Restaurant,21B Wellesley Street West,7.6,2,0.8919350784588316,False,14,135,"-36.8503,174.763304"
Reslau,39 Elliott Street,7.7,1,0.2956479586340623,False,14,159,"-36.850309,174.763443"
Ken Yakitori Bar,89 Karangahape Rd,8.1,-1,0.9590829114151316,False,15,97,"-36.857746,174.762013"
Il Mee 一味食堂,480 Queen St,7.3,2,0.8790261768824733,False,15,113,"-36.855921,174.762525"
"Eight at Cordis, Auckland",83 Symonds Street,7.9,-1,0.9916873137276024,True,15,165,"-36.857211,174.763807"
Scullery,166 Karangahape Road,7.9,1,0.00269309490466444,False,15,171,"-36.858058,174.760448"
Ah Ssak,472 Queen Street,7.5,2,0.9362993285216704,False,15,139,"-36.855921,174.762525"
Kati Grill,146 Karangahape Road,7.3,2,0.828431900606844,False,15,148,"-36.858066,174.760587"
Betsia Kebabs and Chargrilled Burgers,9 City Road,7.0,2,0.045243994398362596,False,15,118,"-36.856822,174.763493"
Le Garde-Manger,466 Queen Street,7.1,3,0.9540917088584868,False,15,152,"-36.855757,174.762609"
Shaolin Kung Fu Noodle,486 Queen Street,6.5,1,0.9099069984559589,False,15,96,"-36.856181,174.762257"
Fujisan,474 Queen Street,6.7,2,0.598657043340874,False,15,127,"-36.855959,174.762591"
Cibo Parnell,91 St Georges Bay Road,7.8,2,0.8847175841143309,False,16,35,"-36.852191,174.782695"
The Chiller,114 St Georges Bay Rd,6.9,1,0.34870192825595175,False,16,154,"-36.851039,174.782029"
Sachie's Kitchen,91 St Georges Bay Road,-1.0,2,0.8701748716291429,False,16,25,"-36.852258,174.782689"
Little Dream,96 St Georges Bay Rd,-1.0,1,0.39435886387302954,False,16,51,"-36.852108,174.782423"
Rosie,82 Gladstone Road,8.4,1,0.926891450321376,False,16,327,"-36.852397,174.786169"
La Porchetta Parnell,167-171 Parnell Road,8.2,2,0.9944881324284535,True,16,330,"-36.8543,174.779574"
Woodpecker Hill,196 Parnell Rd,8.0,2,0.7247836547093253,False,16,338,"-36.854534,174.780112"
Winona Forever,100 Parnell Rd,7.6,1,0.9691730403246077,False,16,322,"-36.852674,174.778913"
Gion Japanese Restaurant,197 Parnell Road,7.6,2,0.9045746705447233,False,16,321,"-36.854862,174.779944"
Renkon,211 Parnell Road,8.1,2,0.9491902761319976,False,16,369,"-36.855034,174.779998"
Tapestry Dining,Corner Waterloo Quadrant and Princes Street,6.9,2,0.3366727710151172,True,17,13,"-36.848213,174.770196"
That's Amore,42 High Street,8.4,2,0.9480771302380696,True,17,259,"-36.848045,174.766788"
Sushi Train - Chancery,32 Courthouse Lane,8.0,2,0.9824051132895256,False,17,256,"-36.84804,174.767278"
Ken Yakitori Bar Anzac,55 Anzac Avenue,7.8,-1,0.9585622464002298,False,17,242,"-36.846999,174.771911"
Sal's Authentic New York Pizza,8 Commerce Street,8.2,1,0.9718122733311788,False,17,277,"-36.845351,174.768006"
Cafe Melba,33 Vulcan Lane,8.5,1,0.9211820891234874,False,17,303,"-36.847307,174.766854"
Ima,57 Fort Street,7.8,2,0.9438938561528242,False,17,263,"-36.846281,174.768901"
Mamak Malaysian Restaurant,50 Kitchener Street,7.3,2,0.972584293870516,True,17,225,"-36.848228,174.76761"
Pilkingtons,41 Shortland Street,7.4,2,0.9570182053215556,False,17,245,"-36.847096,174.767851"
The Shelf,50 High Street,8.4,3,0.9785091026607777,False,17,324,"-36.848632,174.766457"
Piko Cafe,55 Wellesley Street East,7.3,1,0.95299651693059,True,18,83,"-36.852549,174.766527"
Jin Hai Wan Chinese Seafood Restaurant,57-59 Wakefield St,7.9,1,0.8624008043376782,False,18,206,"-36.854518,174.765025"
No. 1 Pancake,Lorne Street,8.2,2,0.024794427088943947,False,18,264,"-36.851036,174.765474"
Relax a Lodge,30-38 Princes Street,6.7,1,0.847445150633775,False,18,146,"-36.85209,174.768454"
Revive,33 Lorne Street,8.0,2,0.8849150777406729,False,18,281,"-36.850722,174.765293"
Bite - Brazilian Eatery,54/368 Queen Street,8.4,2,0.9933929405005566,False,18,312,"-36.852808,174.7635"
Chom Na Thai Food,40 Lorne Street,7.6,2,0.985636827175123,False,18,258,"-36.851036,174.765474"
Nando's,328 Queen St,7.7,2,0.9836798448777335,False,18,287,"-36.852593,174.764031"
Uni Sushi,30-38 Princes Street,6.3,2,0.7824517936012065,False,18,139,"-36.852262,174.768509"
Burgerfuel,291 Queen Street,8.0,2,0.9887249093324716,True,18,326,"-36.851455,174.763939"
Jin Hai Wan Chinese Seafood Restaurant,57-59 Wakefield St,7.9,1,0.8624008043376782,False,19,125,"-36.854518,174.765025"
Piko Cafe,55 Wellesley Street East,7.3,1,0.95299651693059,True,19,222,"-36.852549,174.766527"
Bite - Brazilian Eatery,54/368 Queen Street,8.4,2,0.9933929405005566,False,19,390,"-36.852808,174.7635"
Kura Sake Bar,315b Queen Street,8.5,2,0.1664691730403246,False,19,409,"-36.853433,174.763235"
Relax a Lodge,30-38 Princes Street,6.7,1,0.847445150633775,False,19,261,"-36.85209,174.768454"
No. 1 Pancake,Lorne Street,8.2,2,0.024794427088943947,False,19,424,"-36.851036,174.765474"
Uni Sushi,30-38 Princes Street,6.3,2,0.7824517936012065,False,19,217,"-36.852262,174.768509"
Nando's,328 Queen St,7.7,2,0.9836798448777335,False,19,385,"-36.852593,174.764031"
Tanuki's Cave,319 Queen Street,8.0,2,0.9085784049696578,False,19,413,"-36.853761,174.763066"
Revive,33 Lorne Street,8.0,2,0.8849150777406729,False,19,444,"-36.850722,174.765293"
St Pierre's Sushi Grafton,2 Park Road,6.9,2,0.7156450859994973,False,20,102,"-36.861566,174.770127"
Rice Burger,17 Park Rd,-1.0,2,0.4476462350533233,False,20,90,"-36.860519,174.76967"
Quiche Cafe,19 Park Road,-1.0,1,0.5336995942403677,False,20,157,"-36.860684,174.767201"
Beakers and Jars,7 Park Road,-1.0,1,0.585604510036267,False,20,173,"-36.860743,174.767056"
Jewel of Bombay,9 Park Road,-1.0,2,0.9007145678480376,False,20,182,"-36.860378,174.767159"
Wintergarden Cafe,The Crescent,7.5,1,0.964558871054616,False,20,460,"-36.859595,174.773778"
Santos,77 Carlton Gore Road,7.3,1,0.9459406082803692,False,20,504,"-36.864683,174.772644"
"Eight at Cordis, Auckland",83 Symonds Street,7.9,-1,0.9916873137276024,True,20,647,"-36.857211,174.763807"
Bian Sushi & Donburi,183 Symonds Street,8.5,2,0.8673201910301985,False,20,710,"-36.863082,174.760979"
Ramen Do,167 Symonds St,8.1,1,0.8945743114654027,False,20,694,"-36.862695,174.761293"
European Deli Skazka,16 Kingdon Street,7.2,1,0.9271607598118424,False,21,59,"-36.865886,174.777009"
Shaky Isles Coffee,27 Kingdon Street,7.1,1,0.500359079320622,False,21,60,"-36.86566,174.77661"
Nickies Thai Restaurant,34 Broadway,8.2,2,0.9552228087184459,True,21,225,"-36.864713,174.779419"
Mojo Newmarket,110 Carlton Gore Road,6.1,1,0.8420050989263528,False,21,23,"-36.865215,174.777069"
Archie's Restaurant & Pizzeria,61 Davis Crescent,7.7,1,0.9660131423031347,False,21,207,"-36.867001,174.777609"
Heizo Teppanyaki Restaurant,3D Short Street,7.4,2,0.8436927717332758,False,21,195,"-36.866745,174.777282"
Pita Pit Newmarket,123 Carlton Gore Road,-1.0,1,0.483967108334231,True,21,15,"-36.865421,174.776561"
Zoysa,24 Kingdon Street,-1.0,2,0.7603863693489892,False,21,26,"-36.865496,174.776694"
Hello Mister,123 Carlton Gore Rd,-1.0,2,0.9294588674638228,False,21,27,"-36.865421,174.776561"
Sushi Hits,106 Carlton Gore Road,-1.0,2,0.8417357894358863,False,21,28,"-36.864972,174.776391"
La Porchetta Parnell,167-171 Parnell Road,8.2,2,0.9944881324284535,True,22,12,"-36.8543,174.779574"
Woodpecker Hill,196 Parnell Rd,8.0,2,0.7247836547093253,False,22,40,"-36.854534,174.780112"
Gion Japanese Restaurant,197 Parnell Road,7.6,2,0.9045746705447233,False,22,27,"-36.854862,174.779944"
Oh Calcutta,151 Parnell Road,7.5,2,0.9493518618262774,False,22,30,"-36.853986,174.779393"
Burgerfuel,187 Parnell Road,7.7,2,0.9836439369456713,True,22,52,"-36.854652,174.779823"
Renkon,211 Parnell Road,8.1,2,0.9491902761319976,False,22,94,"-36.855034,174.779998"
Biskit Cafe and Kitchen,215 Parnell Rd,7.3,1,0.937340658551474,False,22,90,"-36.855071,174.780065"
Blue Elephant Thai Restaurant,237 Parnell Road,8.0,2,0.9231390714208769,False,22,162,"-36.855662,174.780362"
Sal's,2 Heather Street,7.6,1,0.9545046500772021,False,22,171,"-36.853152,174.778419"
Mink Cafe,99 Parnell Road,7.4,1,0.7257531688750045,False,22,168,"-36.853102,174.778703"
Sal's,2 Heather Street,7.6,1,0.9545046500772021,False,23,329,"-36.853152,174.778419"
Winona Forever,100 Parnell Rd,7.6,1,0.9691730403246077,False,23,360,"-36.852674,174.778913"
Mink Cafe,99 Parnell Road,7.4,1,0.7257531688750045,False,23,348,"-36.853102,174.778703"
La Porchetta Parnell,167-171 Parnell Road,8.2,2,0.9944881324284535,True,23,457,"-36.8543,174.779574"
Gion Japanese Restaurant,197 Parnell Road,7.6,2,0.9045746705447233,False,23,432,"-36.854862,174.779944"
Oh Calcutta,151 Parnell Road,7.5,2,0.9493518618262774,False,23,428,"-36.853986,174.779393"
Woodpecker Hill,196 Parnell Rd,8.0,2,0.7247836547093253,False,23,479,"-36.854534,174.780112"
Parnell Kebab,126 Parnell Road,6.9,2,0.7514991561635965,False,23,368,"-36.853097,174.779192"
Ruben,105 Parnell Road,6.8,1,0.1034687062372078,False,23,353,"-36.852619,174.779095"
Burgerfuel,187 Parnell Road,7.7,2,0.9836439369456713,True,23,474,"-36.854652,174.779823"
Baduzzi,10-26 Jellicoe Street,7.9,2,0.9480053143739452,False,24,176,"-36.841088,174.756999"
North Park,63 Jellicoe Street,7.1,2,0.9621709935724801,False,24,133,"-36.840489,174.756563"
Thai Street,3/12 Jellicoe Street,7.6,2,0.9256346726991993,False,24,187,"-36.841172,174.757271"
Seafood Central,22 Jellicoe Street,7.1,3,0.9314517576932745,True,24,153,"-36.841131,174.756576"
Miss Clawdy,12 Jellicoe Street,7.7,1,0.3769255628568351,False,24,209,"-36.841105,174.757277"
Pescado Tapas Bar,Jellicoe Street,6.3,2,0.8976444396567201,False,24,126,"-36.840623,174.756551"
Williams Eatery,"G03 85 Daldy Street, Wynyard Quarter",6.9,1,0.9798376961470789,False,24,206,"-36.842444,174.755411"
Rushworth,34-47 Jellicoe Street,7.1,1,0.8926891450321376,False,24,247,"-36.841105,174.757277"
Vip Restaurant,22 Jellicoe Street,-1.0,2,0.6107041545477396,False,24,107,"-36.841055,174.756443"
Market Cafe,22 Jellicoe Street,-1.0,1,0.8437825415634314,False,24,123,"-36.840929,174.756594"
Baduzzi,10-26 Jellicoe Street,7.9,2,0.9480053143739452,False,25,134,"-36.841088,174.756999"
Seafood Central,22 Jellicoe Street,7.1,3,0.9314517576932745,True,25,81,"-36.841131,174.756576"
Williams Eatery,"G03 85 Daldy Street, Wynyard Quarter",6.9,1,0.9798376961470789,False,25,74,"-36.842444,174.755411"
Thai Street,3/12 Jellicoe Street,7.6,2,0.9256346726991993,False,25,145,"-36.841172,174.757271"
Miss Clawdy,12 Jellicoe Street,7.7,1,0.3769255628568351,False,25,158,"-36.841105,174.757277"
North Park,63 Jellicoe Street,7.1,2,0.9621709935724801,False,25,159,"-36.840489,174.756563"
Rushworth,34-47 Jellicoe Street,7.1,1,0.8926891450321376,False,25,193,"-36.841105,174.757277"
Pescado Tapas Bar,Jellicoe Street,6.3,2,0.8976444396567201,False,25,163,"-36.840623,174.756551"
Vip Restaurant,22 Jellicoe Street,-1.0,2,0.6107041545477396,False,25,101,"-36.841055,174.756443"
Swashbucklers Restaurant,23 Westhaven Drive,8.8,3,0.9574311465402707,False,25,436,"-36.843723,174.751944"
Haru No Yume Japanese Restaurant,3 Vernon Street,8.4,2,0.9397823979317032,False,26,69,"-36.848609,174.75584"
The Coffee Shop,192 Victoria Street West,7.2,1,0.10097310495888542,False,26,47,"-36.84826,174.757338"
Caffetteria Allpress,8 Drake Street,7.6,1,0.8697978383424898,False,26,112,"-36.848727,174.75555"
Odettes,90 Wellesley Street West,8.4,-1,0.947215339868577,False,26,223,"-36.84984,174.758385"
Hansik,19 Drake Street,7.3,2,0.8613953822399368,True,26,156,"-36.848493,174.755012"
Legianz Bali,210 Victoria St W,7.3,2,0.8532442816618191,False,26,164,"-36.848484,174.75484"
Best Ugly Bagels,Nelson Street,8.3,1,0.9789399978455241,False,26,244,"-36.849915,174.758518"
Major Sprout,21 Graham Street,8.3,1,0.8990628029731768,False,26,272,"-36.846698,174.759434"
La Zeppa Kitchen and Bar,33 Drake St,7.6,3,0.9298359007504757,True,26,228,"-36.848607,174.754094"
Food Truck Garage,90 Wellesley Street,7.6,1,0.9176631117813925,True,26,238,"-36.849575,174.759038"
Mexico Britomart,23 Britomart Place,7.8,1,0.9784193328306223,True,27,46,"-36.845118,174.770331"
Amano,66-68 Tyler Street,8.5,2,0.9946497181227333,False,27,98,"-36.844678,174.770301"
Ebisu,116-118 Quay Street,8.9,2,0.9363890983518259,False,27,146,"-36.844175,174.769787"
Pita Pit,7 Britomart Place,7.4,1,0.4498186649430859,True,27,69,"-36.844828,174.770567"
Ostro Restaurant & Bar,52 Tyler Street,7.9,3,0.027828647348199217,False,27,122,"-36.844104,174.769164"
L'Assiette,9 Britomart Place,7.2,3,0.8911989658515566,False,27,61,"-36.844895,174.770561"
Tanpopo Ramen,13 Anzac Ave,7.5,2,0.9778986678157205,False,27,103,"-36.846094,174.771432"
Xi'an Food Bar,11 Anzac Ave,7.5,1,0.8798520593199037,False,27,109,"-36.846027,174.771438"
The Store,5B Gore Street,9.0,1,0.9921900247764731,False,27,203,"-36.844625,174.768839"
Little India,19-23 Anzac Avenue,7.2,2,0.9066752845703616,True,27,115,"-36.846191,174.771354"
