name,address,rating,price,review_count,station_idx,distance,lat_lon
Depot,86 Federal St,4.5,3,294,0,873.0042880685842,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,0,873.0042880685842,"-36.8489969,174.7625058"
Woodpecker Hill,196 Parnell Rd,4.5,3,26,0,859.9294866965904,"-36.8546219,174.7801666"
Mamak,50 Kitchener St,4.5,1,60,0,612.381650948749,"-36.848316,174.76767"
Elliott Stables,39 Elliott St,4.5,2,72,0,717.3773275750312,"-36.8502509,174.7636168"
BannSang,1C/47 High St,4.5,2,55,0,682.8743290935159,"-36.8482228458385,174.766330253895"
Amano,66 - 68 Tyler St,4.5,3,67,0,972.1814381233811,"-36.844498,174.7703587"
Brew On Quay,102 Quay St,4.0,2,28,0,974.3800493119621,"-36.8444724,174.7706874"
Albert Park Cafe,18 Kitchener St,4.5,2,50,0,530.9693587073365,"-36.8498,174.7663"
That's Amore,1 Courthouse Ln,5.0,2,30,0,652.1706231863816,"-36.848159,174.767093"
Depot,86 Federal St,4.5,3,294,1,620.3817898738664,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,1,620.3817898738664,"-36.8489969,174.7625058"
Elliott Stables,39 Elliott St,4.5,2,72,1,482.2032901201236,"-36.8502509,174.7636168"
Tanuki's Cave,319b Queen Street,4.0,2,32,1,110.76225950089243,"-36.8535713,174.76316"
Le garde-manger,466 Queen St,4.5,2,33,1,144.6023877837847,"-36.8558117,174.7625738"
Da Vinci's Restaurant,5 City Rd,4.0,2,20,1,282.88566847658916,"-36.856983,174.763992"
Yummy Dumpling House,458 Queen St,4.5,-1,4,1,116.46609464625747,"-36.85558,174.7627"
Mamak,50 Kitchener St,4.5,1,60,1,808.3722050493435,"-36.848316,174.76767"
Citizen Q,305 Queen St,4.5,-1,3,1,134.80327622301058,"-36.8527489,174.7634735"
Odettes Eatery,90 Wellesley St West,4.5,2,45,1,674.0384072887712,"-36.84943,174.75905"
Depot,86 Federal St,4.5,3,294,2,682.4740712436953,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,2,682.4740712436953,"-36.8489969,174.7625058"
Elliott Stables,39 Elliott St,4.5,2,72,2,666.7873197111712,"-36.8502509,174.7636168"
Odettes Eatery,90 Wellesley St West,4.5,2,45,2,429.59257102291843,"-36.84943,174.75905"
Fondou Café,157 Hobson St,5.0,-1,13,2,353.67574837828283,"-36.8511499,174.75997"
1947 eatery,60 Federal St,4.5,3,27,2,807.4824234750511,"-36.84778,174.7629399"
Tony's Steak and Seafood,27 Wellesley St,4.0,3,45,2,627.7715460091847,"-36.8503720182206,174.763190593144"
Tanuki's Cave,319b Queen Street,4.0,2,32,2,516.5969897933298,"-36.8535713,174.76316"
The Brewers Co-Operative,128 Victoria St West,4.5,2,11,2,666.6922845258134,"-36.8478729852849,174.759786296195"
Da Vinci's Restaurant,5 City Rd,4.0,2,20,2,703.5905324522348,"-36.856983,174.763992"
Depot,86 Federal St,4.5,3,294,3,327.57464554946216,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,3,327.57464554946216,"-36.8489969,174.7625058"
Dr Rudi's Rooftop Brewing Co.,Level 3,4.0,2,42,3,424.9185590048855,"-36.8427136774233,174.763424696142"
Oyster And Chop,Market Square,4.0,3,54,3,360.68920197418424,"-36.8430815674653,174.76261156734"
Giraffe,85-87 Custom St West,4.5,-1,17,3,363.21553579507935,"-36.8432620522554,174.763249609362"
Federal & Wolfe,10 Federal St,4.5,2,92,3,277.00211455732517,"-36.8450102380783,174.764167070389"
Soul,Customs St West,4.5,4,56,3,360.92332531632604,"-36.8431576105319,174.762892557178"
1947 eatery,60 Federal St,4.5,3,27,3,233.49420750422817,"-36.84778,174.7629399"
Hello Beasty,95-97 Customs Street W,4.5,-1,13,3,345.4310332771844,"-36.8431763335408,174.762401189647"
Baduzzi,10-26 Jellicoe St,4.5,3,73,3,699.8530865667456,"-36.8409671759782,174.757016396741"
Depot,86 Federal St,4.5,3,294,4,426.9083982091401,"-36.8489969,174.7625058"
Mamak,50 Kitchener St,4.5,1,60,4,88.4553855801152,"-36.848316,174.76767"
Federal Delicatessen,86 Federal St,4.5,2,201,4,426.9083982091401,"-36.8489969,174.7625058"
Elliott Stables,39 Elliott St,4.5,2,72,4,414.5454764572934,"-36.8502509,174.7636168"
Amano,66 - 68 Tyler St,4.5,3,67,4,464.2270583432179,"-36.844498,174.7703587"
Dr Rudi's Rooftop Brewing Co.,Level 3,4.0,2,42,4,641.3638005614145,"-36.8427136774233,174.763424696142"
That's Amore,1 Courthouse Ln,5.0,2,30,4,50.28115544646156,"-36.848159,174.767093"
King Made Noodles,48 fort St,5.0,-1,8,4,248.2434168356569,"-36.84611,174.76898"
BannSang,1C/47 High St,4.5,2,55,4,84.17004461901632,"-36.8482228458385,174.766330253895"
Culprit,12 Wyndham St,5.0,-1,6,4,173.95372083304764,"-36.8472807369516,174.765146102108"
Ponsonby Central,136 Ponsonby Rd,4.5,2,34,5,296.2983534527629,"-36.8563463,174.7464387"
Orphan's Kitchen,118 Ponsonby Road,4.0,3,30,5,147.3193310511262,"-36.8572814,174.7476397"
Ponsonby Social Club,152 Ponsonby Road,4.0,2,8,5,373.88841850150163,"-36.8555687,174.7462358"
Pane & Vino,20 Williamson Ave,4.5,2,10,5,99.38908769107633,"-36.8589703,174.7480868"
Pedro's House of Lamb,6/4 Williamson Ave,5.0,3,3,5,21.430599724461313,"-36.8583585243259,174.748555253161"
Prego,226 Ponsonby Rd,4.5,3,40,5,713.1466479534504,"-36.8526775,174.7448075"
Cocoro,56a Brown Street,4.5,4,11,5,563.6292871007348,"-36.8564125,174.7428593"
Azabu,26 Ponsonby Rd,4.0,1,11,5,270.4452250208712,"-36.859206,174.751558830374"
Ohso Cafe,29 Crummer Road,4.5,2,11,5,198.55314348827744,"-36.8600196,174.7484027"
Saan,160 Ponsonby Rd,4.5,4,9,5,393.54279231909334,"-36.8554182769186,174.746118327506"
Ponsonby Central,136 Ponsonby Rd,4.5,2,34,6,11.154644154412612,"-36.8563463,174.7464387"
Ponsonby Social Club,152 Ponsonby Road,4.0,2,8,6,98.36336643483745,"-36.8555687,174.7462358"
Orphan's Kitchen,118 Ponsonby Road,4.0,3,30,6,138.0188993164862,"-36.8572814,174.7476397"
Prego,226 Ponsonby Rd,4.5,3,40,6,443.5199995302888,"-36.8526775,174.7448075"
Cocoro,56a Brown Street,4.5,4,11,6,325.5226703581535,"-36.8564125,174.7428593"
Saan,160 Ponsonby Rd,4.5,4,9,6,117.34864988959134,"-36.8554182769186,174.746118327506"
Dantes Pizza,136 Ponsonby Rd,4.5,2,49,6,30.024502945227997,"-36.8561777,174.7463797"
The Blue Breeze Inn,146 Ponsonby Road,4.0,3,41,6,73.48288141777034,"-36.8557926,174.7462742"
El Sizzling Chorizo,4 Brown Street,4.0,3,37,6,59.4619409469853,"-36.8560389,174.7460543"
Ponsonby Road Bistro,165 Ponsonby Road,4.5,3,19,6,227.20224286405062,"-36.8544083,174.746048"
Depot,86 Federal St,4.5,3,294,7,534.2021861189446,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,7,534.2021861189446,"-36.8489969,174.7625058"
Elliott Stables,39 Elliott St,4.5,2,72,7,365.61204597875917,"-36.8502509,174.7636168"
Mamak,50 Kitchener St,4.5,1,60,7,474.75922030514647,"-36.848316,174.76767"
BannSang,1C/47 High St,4.5,2,55,7,476.3733089799091,"-36.8482228458385,174.766330253895"
Tony's Steak and Seafood,27 Wellesley St,4.0,3,45,7,385.7101072876244,"-36.8503720182206,174.763190593144"
Tanuki's Cave,319b Queen Street,4.0,2,32,7,329.477615187633,"-36.8535713,174.76316"
1947 eatery,60 Federal St,4.5,3,27,7,608.1356006910289,"-36.84778,174.7629399"
Nandos,360 Queen St,4.0,1,10,7,231.12405213123924,"-36.8527473,174.7640337"
Citizen Q,305 Queen St,4.5,-1,3,7,311.344658629908,"-36.8527489,174.7634735"
Depot,86 Federal St,4.5,3,294,8,1134.152391127301,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,8,1134.152391127301,"-36.8489969,174.7625058"
Coco's Cantina,376 Karangahape Rd,4.0,3,28,8,25.893943979366895,"-36.8582254009656,174.756638306879"
Sri Pinang,356 Karangahape Road,4.0,1,19,8,45.2491430607954,"-36.8580818,174.7570038"
Cotto,375 Karangahape Rd,4.5,-1,6,8,9.515720272936013,"-36.85793,174.75649"
Madame George,490 Karangahape Road,4.5,2,4,8,213.04299231514142,"-36.8589126651521,174.75442317679"
Da Vinci's Restaurant,5 City Rd,4.0,2,20,8,673.2577807809349,"-36.856983,174.763992"
Peach Pit,352 Karangahape Road,4.5,-1,2,8,53.75000182389007,"-36.8580894,174.7570801"
Between Cafe & Eatery,82 Karangahape Rd,5.0,2,26,8,477.5206347571312,"-36.8581,174.7619"
Uncle Man,277 Karangahape Rd,4.0,1,20,8,161.75972205278768,"-36.8574846,174.7579437"
Depot,86 Federal St,4.5,3,294,9,1008.6921507965208,"-36.8489969,174.7625058"
Eight at Cordis,83 Symonds St,4.0,4,36,9,270.06509073580537,"-36.8574758965518,174.763995409012"
Between Cafe & Eatery,82 Karangahape Rd,5.0,2,26,9,78.43466452637875,"-36.8581,174.7619"
Da Vinci's Restaurant,5 City Rd,4.0,2,20,9,286.4574454314027,"-36.856983,174.763992"
Le garde-manger,466 Queen St,4.5,2,33,9,278.59055481792325,"-36.8558117,174.7625738"
Federal Delicatessen,86 Federal St,4.5,2,201,9,1008.6921507965208,"-36.8489969,174.7625058"
Elliott Stables,39 Elliott St,4.5,2,72,9,890.9251541677206,"-36.8502509,174.7636168"
Yummy Dumpling House,458 Queen St,4.5,-1,4,9,306.5265748149097,"-36.85558,174.7627"
Bestie Cafe,183 Karangahape Rd,4.5,-1,5,9,102.26331206194325,"-36.857278,174.760303"
Gemmayze St,Karangahape Rd,4.5,-1,11,9,111.41729745921936,"-36.857285919383,174.760139210178"
Depot,86 Federal St,4.5,3,294,10,749.7659398838351,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,10,749.7659398838351,"-36.8489969,174.7625058"
Elliott Stables,39 Elliott St,4.5,2,72,10,681.6016030769239,"-36.8502509,174.7636168"
Odettes Eatery,90 Wellesley St West,4.5,2,45,10,595.6833761831085,"-36.84943,174.75905"
Le garde-manger,466 Queen St,4.5,2,33,10,332.4961562199354,"-36.8558117,174.7625738"
Tanuki's Cave,319b Queen Street,4.0,2,32,10,412.31518066834235,"-36.8535713,174.76316"
Da Vinci's Restaurant,5 City Rd,4.0,2,20,10,495.3712237853368,"-36.856983,174.763992"
Tony's Steak and Seafood,27 Wellesley St,4.0,3,45,10,648.1578301784025,"-36.8503720182206,174.763190593144"
Yummy Dumpling House,458 Queen St,4.5,-1,4,10,337.07230414260954,"-36.85558,174.7627"
Between Cafe & Eatery,82 Karangahape Rd,5.0,2,26,10,424.29009524745754,"-36.8581,174.7619"
Da Vinci's Restaurant,5 City Rd,4.0,2,20,11,138.98862462484416,"-36.856983,174.763992"
Eight at Cordis,83 Symonds St,4.0,4,36,11,86.86122786060712,"-36.8574758965518,174.763995409012"
Between Cafe & Eatery,82 Karangahape Rd,5.0,2,26,11,153.40721965031258,"-36.8581,174.7619"
Le garde-manger,466 Queen St,4.5,2,33,11,281.09189800071556,"-36.8558117,174.7625738"
Elliott Stables,39 Elliott St,4.5,2,72,11,883.5650725199304,"-36.8502509,174.7636168"
Yummy Dumpling House,458 Queen St,4.5,-1,4,11,303.30945731389534,"-36.85558,174.7627"
Tanuki's Cave,319b Queen Street,4.0,2,32,11,515.9795232560656,"-36.8535713,174.76316"
Fujisan,474 Queen St,4.5,2,7,11,272.1898009237593,"-36.8559223,174.7624898"
Shaolin Kung Fu Noodle,486 Queen St,4.5,-1,5,11,247.22646004898763,"-36.8562,174.76242"
Number 5 Restaurant,5 City Road,5.0,4,10,11,137.2199083899557,"-36.856997,174.7639798"
Depot,86 Federal St,4.5,3,294,12,487.945505925536,"-36.8489969,174.7625058"
Mamak,50 Kitchener St,4.5,1,60,12,177.27556237855077,"-36.848316,174.76767"
Amano,66 - 68 Tyler St,4.5,3,67,12,375.6761621818655,"-36.844498,174.7703587"
Federal Delicatessen,86 Federal St,4.5,2,201,12,487.945505925536,"-36.8489969,174.7625058"
The Shuckers Brothers,99 Quay St,4.5,-1,26,12,418.6079042540667,"-36.8430001224047,174.767044965976"
King Made Noodles,48 fort St,5.0,-1,8,12,171.57540106191342,"-36.84611,174.76898"
Dr Rudi's Rooftop Brewing Co.,Level 3,4.0,2,42,12,563.0244435994069,"-36.8427136774233,174.763424696142"
Federal & Wolfe,10 Federal St,4.5,2,92,12,334.63962631478523,"-36.8450102380783,174.764167070389"
Elliott Stables,39 Elliott St,4.5,2,72,12,503.57028566228547,"-36.8502509,174.7636168"
Culprit,12 Wyndham St,5.0,-1,6,12,193.76972747428124,"-36.8472807369516,174.765146102108"
Depot,86 Federal St,4.5,3,294,13,391.4844996438312,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,13,391.4844996438312,"-36.8489969,174.7625058"
Odettes Eatery,90 Wellesley St West,4.5,2,45,13,213.60303971390442,"-36.84943,174.75905"
Dr Rudi's Rooftop Brewing Co.,Level 3,4.0,2,42,13,728.0756893739535,"-36.8427136774233,174.763424696142"
Oyster And Chop,Market Square,4.0,3,54,13,651.8491786935951,"-36.8430815674653,174.76261156734"
Giraffe,85-87 Custom St West,4.5,-1,17,13,671.0814948849378,"-36.8432620522554,174.763249609362"
Elliott Stables,39 Elliott St,4.5,2,72,13,539.6893935656407,"-36.8502509,174.7636168"
The Brewers Co-Operative,128 Victoria St West,4.5,2,11,13,128.10086026204718,"-36.8478729852849,174.759786296195"
Baduzzi,10-26 Jellicoe St,4.5,3,73,13,774.2194683677559,"-36.8409671759782,174.757016396741"
